TIPO_LESÃO,TIPO_SEGMENTAÇÃO,N_NODES,EMBEDDING_SIZE,LEARNING_RATE,WEIGHT_DECAY,RANDOM_SEED,CLASS_WEIGHT_MALIGN,TEST_ACCURACY,TEST_RECALL_MALIGN,TEST_PRECISION_MALIGN,TEST_F1_MALIGN,TEST_SUPPORT_MALIGN,TEST_RECALL_BENIGN,TEST_PRECISION_BENIGN,BEST_VAL_ACCURACY,N_RUNS_SUCCESSFUL
CALC,SLIC,200,128,0.001,0.001,123,1.3929235935211182,0.7127659574468085,0.7352941176470589,0.5813953488372093,0.6493506493506493,68.0,0.7,0.8235294117647058,0.7446808510638298,3
CALC,SLIC,200,128,0.001,0.0005,1024,1.3929235935211182,0.7340425531914894,0.8088235294117647,0.5978260869565217,0.6875,68.0,0.6916666666666667,0.8645833333333334,0.7978723404255319,3
CALC,SLIC,200,128,0.0005,0.001,42,1.3929235935211182,0.75,0.6764705882352942,0.647887323943662,0.6618705035971223,68.0,0.7916666666666666,0.811965811965812,0.7393617021276596,3
CALC,SLIC,200,128,0.0005,0.0005,42,1.3929235935211182,0.7712765957446809,0.5735294117647058,0.7358490566037735,0.6446280991735537,68.0,0.8833333333333333,0.7851851851851852,0.75,3
CALC,DISF,200,128,0.001,0.001,1024,1.3929235935211182,0.7074468085106383,0.7647058823529411,0.5714285714285714,0.6540880503144654,68.0,0.675,0.8350515463917526,0.7659574468085106,3
CALC,DISF,200,128,0.001,0.0005,123,1.3929235935211182,0.7074468085106383,0.8823529411764706,0.5607476635514018,0.6857142857142857,68.0,0.6083333333333333,0.9012345679012346,0.7180851063829787,3
CALC,DISF,200,128,0.0005,0.001,1024,1.3929235935211182,0.7180851063829787,0.6176470588235294,0.6086956521739131,0.6131386861313869,68.0,0.775,0.7815126050420168,0.7978723404255319,3
CALC,DISF,200,128,0.0005,0.0005,1024,1.3929235935211182,0.7393617021276596,0.7205882352941176,0.620253164556962,0.6666666666666666,68.0,0.75,0.8256880733944955,0.7872340425531915,3
MASS,SLIC,200,128,0.001,0.001,1024,1.0830670595169067,0.6470588235294118,0.6075949367088608,0.6233766233766234,0.6153846153846154,79.0,0.6813186813186813,0.6666666666666666,0.6647058823529411,3
MASS,SLIC,200,128,0.001,0.0005,42,1.0830670595169067,0.6764705882352942,0.6455696202531646,0.6538461538461539,0.6496815286624203,79.0,0.7032967032967034,0.6956521739130435,0.6647058823529411,3
MASS,SLIC,200,128,0.0005,0.001,42,1.0830670595169067,0.6823529411764706,0.5949367088607594,0.6811594202898551,0.6351351351351351,79.0,0.7582417582417582,0.6831683168316832,0.6470588235294118,3
MASS,SLIC,200,128,0.0005,0.0005,1024,1.0830670595169067,0.711764705882353,0.7341772151898734,0.6744186046511628,0.703030303030303,79.0,0.6923076923076923,0.75,0.6705882352941176,3
MASS,DISF,200,128,0.001,0.001,1024,1.0830670595169067,0.7176470588235294,0.7721518987341772,0.6703296703296703,0.7176470588235294,79.0,0.6703296703296703,0.7721518987341772,0.6764705882352942,3
MASS,DISF,200,128,0.001,0.0005,123,1.0830670595169067,0.6352941176470588,0.7341772151898734,0.5858585858585859,0.651685393258427,79.0,0.5494505494505495,0.704225352112676,0.7,3
MASS,DISF,200,128,0.0005,0.001,1024,1.0830670595169067,0.7176470588235294,0.7721518987341772,0.6703296703296703,0.7176470588235294,79.0,0.6703296703296703,0.7721518987341772,0.6764705882352942,3
MASS,DISF,200,128,0.0005,0.0005,1024,1.0830670595169067,0.6941176470588235,0.7215189873417721,0.6551724137931034,0.6867469879518072,79.0,0.6703296703296703,0.7349397590361446,0.7,3
