TIPO_LESÃO,TIPO_SEGMENTAÇÃO,N_NODES,EMBEDDING_SIZE,LEARNING_RATE,WEIGHT_DECAY,RANDOM_SEED,CLASS_WEIGHT_MALIGN,TEST_ACCURACY,TEST_RECALL_MALIGN,TEST_PRECISION_MALIGN,TEST_F1_MALIGN,TEST_SUPPORT_MALIGN,TEST_RECALL_BENIGN,TEST_PRECISION_BENIGN,BEST_VAL_ACCURACY,N_RUNS_SUCCESSFUL
CALC,SLIC,25,128,0.001,0.001,123,1.3929235935211182,0.7127659574468085,0.7205882352941176,0.5833333333333334,0.6447368421052632,68.0,0.7083333333333334,0.8173076923076923,0.7606382978723404,3
CALC,SLIC,25,128,0.001,0.0005,1024,1.3929235935211182,0.7287234042553191,0.7941176470588235,0.5934065934065934,0.6792452830188679,68.0,0.6916666666666667,0.8556701030927835,0.7553191489361702,3
CALC,SLIC,25,128,0.0005,0.001,1024,1.3929235935211182,0.6968085106382979,0.7647058823529411,0.5591397849462365,0.6459627329192547,68.0,0.6583333333333333,0.8315789473684211,0.75,3
CALC,SLIC,25,128,0.0005,0.0005,123,1.3929235935211182,0.7074468085106383,0.7647058823529411,0.5714285714285714,0.6540880503144654,68.0,0.675,0.8350515463917526,0.7553191489361702,3
CALC,DISF,25,128,0.001,0.001,42,1.3929235935211182,0.7074468085106383,0.6617647058823529,0.5844155844155844,0.6206896551724138,68.0,0.7333333333333333,0.7927927927927928,0.6914893617021277,3
CALC,DISF,25,128,0.001,0.0005,1024,1.3929235935211182,0.7021276595744681,0.6764705882352942,0.575,0.6216216216216216,68.0,0.7166666666666667,0.7962962962962963,0.7659574468085106,3
CALC,DISF,25,128,0.0005,0.001,1024,1.3929235935211182,0.7287234042553191,0.7647058823529411,0.5977011494252874,0.6709677419354839,68.0,0.7083333333333334,0.8415841584158416,0.7606382978723404,3
CALC,DISF,25,128,0.0005,0.0005,1024,1.3929235935211182,0.7925531914893617,0.6323529411764706,0.7543859649122807,0.688,68.0,0.8833333333333333,0.8091603053435115,0.776595744680851,3
MASS,SLIC,25,128,0.001,0.001,42,1.0830670595169067,0.6470588235294118,0.6455696202531646,0.6144578313253012,0.6296296296296297,79.0,0.6483516483516484,0.6781609195402298,0.6764705882352942,3
MASS,SLIC,25,128,0.001,0.0005,1024,1.0830670595169067,0.6764705882352942,0.6708860759493671,0.6463414634146342,0.6583850931677019,79.0,0.6813186813186813,0.7045454545454546,0.6647058823529411,3
MASS,SLIC,25,128,0.0005,0.001,1024,1.0830670595169067,0.6823529411764706,0.7215189873417721,0.6404494382022472,0.6785714285714286,79.0,0.6483516483516484,0.7283950617283951,0.6882352941176471,3
MASS,SLIC,25,128,0.0005,0.0005,1024,1.0830670595169067,0.6823529411764706,0.759493670886076,0.631578947368421,0.6896551724137931,79.0,0.6153846153846154,0.7466666666666667,0.6764705882352942,3
MASS,DISF,25,128,0.001,0.001,1024,1.0830670595169067,0.6823529411764706,0.6329113924050633,0.6666666666666666,0.6493506493506493,79.0,0.7252747252747253,0.6947368421052632,0.6764705882352942,3
MASS,DISF,25,128,0.001,0.0005,1024,1.0830670595169067,0.711764705882353,0.6582278481012658,0.7027027027027027,0.6797385620915033,79.0,0.7582417582417582,0.71875,0.6647058823529411,3
MASS,DISF,25,128,0.0005,0.001,1024,1.0830670595169067,0.6882352941176471,0.5949367088607594,0.6911764705882353,0.6394557823129252,79.0,0.7692307692307693,0.6862745098039216,0.6823529411764706,3
MASS,DISF,25,128,0.0005,0.0005,1024,1.0830670595169067,0.6823529411764706,0.759493670886076,0.631578947368421,0.6896551724137931,79.0,0.6153846153846154,0.7466666666666667,0.6647058823529411,3
