TIPO_LESÃO,TIPO_SEGMENTAÇÃO,N_NODES,EMBEDDING_SIZE,LEARNING_RATE,WEIGHT_DECAY,RANDOM_SEED,CLASS_WEIGHT_MALIGN,TEST_ACCURACY,TEST_RECALL_MALIGN,TEST_PRECISION_MALIGN,TEST_F1_MALIGN,TEST_SUPPORT_MALIGN,TEST_RECALL_BENIGN,TEST_PRECISION_BENIGN,BEST_VAL_ACCURACY,N_RUNS_SUCCESSFUL
CALC,SLIC,50,128,0.001,0.001,123,1.3929235935211182,0.7074468085106383,0.8235294117647058,0.5656565656565656,0.6706586826347305,68.0,0.6416666666666667,0.8651685393258427,0.7606382978723404,3
CALC,SLIC,50,128,0.001,0.0005,42,1.3929235935211182,0.7180851063829787,0.6617647058823529,0.6,0.6293706293706294,68.0,0.75,0.7964601769911505,0.75,3
CALC,SLIC,50,128,0.0005,0.001,42,1.3929235935211182,0.7180851063829787,0.7941176470588235,0.5806451612903226,0.6708074534161491,68.0,0.675,0.8526315789473684,0.7340425531914894,3
CALC,SLIC,50,128,0.0005,0.0005,42,1.3929235935211182,0.7127659574468085,0.7352941176470589,0.5813953488372093,0.6493506493506493,68.0,0.7,0.8235294117647058,0.723404255319149,3
CALC,DISF,50,128,0.001,0.001,123,1.3929235935211182,0.6808510638297872,0.7647058823529411,0.5416666666666666,0.6341463414634146,68.0,0.6333333333333333,0.8260869565217391,0.7553191489361702,3
CALC,DISF,50,128,0.001,0.0005,123,1.3929235935211182,0.6914893617021277,0.7794117647058824,0.5520833333333334,0.6463414634146342,68.0,0.6416666666666667,0.8369565217391305,0.7553191489361702,3
CALC,DISF,50,128,0.0005,0.001,1024,1.3929235935211182,0.7446808510638298,0.7205882352941176,0.6282051282051282,0.6712328767123288,68.0,0.7583333333333333,0.8272727272727273,0.776595744680851,3
CALC,DISF,50,128,0.0005,0.0005,1024,1.3929235935211182,0.7712765957446809,0.7352941176470589,0.6666666666666666,0.6993006993006993,68.0,0.7916666666666666,0.8407079646017699,0.7712765957446809,3
MASS,SLIC,50,128,0.001,0.001,1024,1.0830670595169067,0.7058823529411765,0.7848101265822784,0.6526315789473685,0.7126436781609196,79.0,0.6373626373626373,0.7733333333333333,0.6705882352941176,3
MASS,SLIC,50,128,0.001,0.0005,42,1.0830670595169067,0.6411764705882353,0.6582278481012658,0.6046511627906976,0.6303030303030303,79.0,0.6263736263736264,0.6785714285714286,0.6647058823529411,3
MASS,SLIC,50,128,0.0005,0.001,42,1.0830670595169067,0.6764705882352942,0.7215189873417721,0.6333333333333333,0.6745562130177515,79.0,0.6373626373626373,0.725,0.711764705882353,3
MASS,SLIC,50,128,0.0005,0.0005,42,1.0830670595169067,0.7294117647058823,0.7215189873417721,0.7037037037037037,0.7125,79.0,0.7362637362637363,0.7528089887640449,0.711764705882353,3
MASS,DISF,50,128,0.001,0.001,1024,1.0830670595169067,0.6823529411764706,0.5822784810126582,0.6865671641791045,0.6301369863013698,79.0,0.7692307692307693,0.6796116504854369,0.6882352941176471,3
MASS,DISF,50,128,0.001,0.0005,1024,1.0830670595169067,0.7058823529411765,0.7974683544303798,0.6494845360824743,0.7159090909090909,79.0,0.6263736263736264,0.7808219178082192,0.7058823529411765,3
MASS,DISF,50,128,0.0005,0.001,1024,1.0830670595169067,0.6705882352941176,0.7468354430379747,0.6210526315789474,0.6781609195402298,79.0,0.6043956043956044,0.7333333333333333,0.6882352941176471,3
MASS,DISF,50,128,0.0005,0.0005,1024,1.0830670595169067,0.6823529411764706,0.620253164556962,0.6712328767123288,0.6447368421052632,79.0,0.7362637362637363,0.6907216494845361,0.6882352941176471,3
